_id,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,TIPO,CAPACIDAD_MAX,CANTIDAD_POR_TIPO_JUEGO
16657,AREA INFANTIL,15,UNIVERSIDAD,1.0,CENTRO,OPERATIVO,439600.898,4475235.511,ETRS89,40.42556179,-3.71202019,PLAZA,CRISTINO MARTOS,2,28015.0,"PLAZA CRISTINO MARTOS , ASCENDIENTE 1: 015",11006548.0,2004-01-01T00:00:00Z,I1004,AE21,4,INFANTIL,16,"[('INFANTIL', '16')]"
16658,AREA INFANTIL,15,UNIVERSIDAD,1.0,CENTRO,OPERATIVO,439856.44,4475417.186,ETRS89,40.42721691,-3.70902511,PLAZA,COMENDADORAS,9,28015.0,"PLAZA COMENDADORAS , ASCENDIENTE 1: 015 · U",11006381.0,2004-01-01T00:00:00Z,I1005,AE21,10,INFANTIL,20,[]
16659,AREA INFANTIL,15,UNIVERSIDAD,1.0,CENTRO,OPERATIVO,440259.0,4475407.99,ETRS89,40.42716308,-3.70427886,PLAZA,DOS DE MAYO,3,28004.0,"PLAZA DEL DOS DE MAYO 3 , ASCENDIENTE 1: 01",11006142.0,2006-11-21T00:00:00Z,I1006,AE21,8,INFANTIL,3,"[('INFANTIL', '3')]"
16660,AREA INFANTIL,15,UNIVERSIDAD,1.0,CENTRO,OPERATIVO,440254.716,4475367.323,ETRS89,40.42679642,-3.70432554,PLAZA,DOS DE MAYO,2,28004.0,"PLAZA DEL DOS DE MAYO 2 , ASCENDIENTE 1: 01",11006158.0,2006-11-20T00:00:00Z,I1007,AE21,18,INFANTIL,8,"[('INFANTIL', '8')]"
16661,AREA INFANTIL,14,JUSTICIA,1.0,CENTRO,OPERATIVO,441256.019,4475200.267,ETRS89,40.42536281,-3.69250676,PLAZA,VILLA DE PARIS,1,28004.0,"PLAZA DE LA VILLA DE PARIS , ZONA 1",11005131.0,2007-06-20T00:00:00Z,I1009,AE21,16,INFANTIL,14,"[('INFANTIL', '14')]"
16662,AREA DE MAYORES,15,UNIVERSIDAD,1.0,CENTRO,OPERATIVO,439837.18,4475417.53,ETRS89,40.42721862,-3.70925218,PLAZA,COMENDADORAS,9,28015.0,"PLAZA COMENDADORAS , ASCENDIENTE 1: 015 · U",11006381.0,2004-01-01T00:00:00Z,M0101,AE21,9,MAYORES,20,"[('MAYORES', '15'), ('INFANTIL', '5')]"
16663,AREA INFANTIL,11,PALACIO,1.0,CENTRO,OPERATIVO,438915.13,4474119.77,ETRS89,40.41546065,-3.71999665,PASEO,VIRGEN DEL PUERTO,3 B,28005.0,"PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA",31044315.0,2004-01-01T00:00:00Z,I1010,AE21,17,INFANTIL,24,[]
16664,AREA INFANTIL,11,PALACIO,1.0,CENTRO,OPERATIVO,438975.594,4474091.596,ETRS89,40.41521128,-3.71928133,PASEO,CIUDAD DE PLASENCIA,1,28005.0,"PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA",31044315.0,2004-01-01T00:00:00Z,I1011,AE21,17,INFANTIL,24,"[('INFANTIL', '24')]"
16665,AREA INFANTIL,11,PALACIO,1.0,CENTRO,OPERATIVO,439005.2,4474092.66,ETRS89,40.41522303,-3.71893249,PARQUE,PARQUE DE ATENAS  ASCENDIENTE 1,011,28005.0,"PARQUE DE ATENAS , ASCENDIENTE 1: 011 · PALA",31047537.0,2004-01-01T00:00:00Z,I1012,AE21,4,INFANTIL,0,[]
16666,AREA INFANTIL,14,JUSTICIA,1.0,CENTRO,OPERATIVO,440657.77,4474736.53,ETRS89,40.42114279,-3.69951548,PLAZA,PLAZA VAZQUEZ DE MELLA,6,28004.0,"PLAZA VAZQUEZ DE MELLA 6 , ASCENDIENTE 1: 0",11004540.0,2004-09-30T00:00:00Z,I1013,AE21,5,INFANTIL,0,[]
