_id,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AREARECREATIVAID
IS-1,2024-06-13T00:00:00Z,ROBO,ALTA,17538
IS-10,2020-11-04T00:00:00Z,ACCIDENTE,CRITICA,17203
IS-100,2021-06-30T00:00:00Z,ROBO,MEDIA,17909
IS-1000,2021-10-16T00:00:00Z,VANDALISMO,MEDIA,16885
IS-1001,2020-07-09T00:00:00Z,VANDALISMO,ALTA,5241171
IS-1002,2022-08-19T00:00:00Z,ACCIDENTE,BAJA,5654014
IS-1003,2020-02-26T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16731
IS-1004,2021-05-12T00:00:00Z,DANO ESTRUCTURAL,ALTA,18552
IS-1005,2021-07-25T00:00:00Z,VANDALISMO,BAJA,17896
IS-1006,2023-10-18T00:00:00Z,VANDALISMO,ALTA,18221
IS-1007,2024-08-14T00:00:00Z,ROBO,CRITICA,17746
IS-1008,2024-05-23T00:00:00Z,ROBO,MEDIA,17644
IS-1009,2024-07-10T00:00:00Z,DANO ESTRUCTURAL,CRITICA,8799942
IS-101,2020-07-27T00:00:00Z,ROBO,MEDIA,16831
IS-1010,2022-12-13T00:00:00Z,VANDALISMO,BAJA,18084
IS-1011,2021-11-19T00:00:00Z,ACCIDENTE,MEDIA,18120
IS-1012,2021-09-26T00:00:00Z,VANDALISMO,MEDIA,8799549
IS-1013,2022-12-25T00:00:00Z,ROBO,MEDIA,18259
IS-1014,2022-09-18T00:00:00Z,VANDALISMO,CRITICA,17288
IS-1015,2020-07-20T00:00:00Z,ACCIDENTE,BAJA,17290
IS-1016,2023-09-19T00:00:00Z,ROBO,ALTA,16868
IS-1017,2020-01-10T00:00:00Z,ACCIDENTE,MEDIA,52056
IS-1018,2020-05-10T00:00:00Z,ACCIDENTE,BAJA,18477
IS-1019,2022-07-01T00:00:00Z,DANO ESTRUCTURAL,BAJA,52189
IS-102,2020-07-19T00:00:00Z,CAIDA,BAJA,18234
IS-1020,2023-08-18T00:00:00Z,ACCIDENTE,CRITICA,16751
IS-1021,2024-07-08T00:00:00Z,CAIDA,BAJA,17209
IS-1022,2020-03-23T00:00:00Z,DANO ESTRUCTURAL,BAJA,52153
IS-1023,2023-11-11T00:00:00Z,ACCIDENTE,CRITICA,5241173
IS-1024,2022-09-02T00:00:00Z,DANO ESTRUCTURAL,MEDIA,52212
IS-1025,2023-11-27T00:00:00Z,DANO ESTRUCTURAL,MEDIA,16943
IS-1026,2022-05-09T00:00:00Z,ROBO,MEDIA,16732
IS-1027,2023-11-14T00:00:00Z,ACCIDENTE,MEDIA,16888
IS-1028,2021-06-04T00:00:00Z,ACCIDENTE,BAJA,451351
IS-1029,2021-03-16T00:00:00Z,ROBO,ALTA,18234
IS-103,2024-08-23T00:00:00Z,CAIDA,CRITICA,4988273
IS-1030,2023-05-30T00:00:00Z,ACCIDENTE,CRITICA,4986445
IS-1031,2021-05-09T00:00:00Z,DANO ESTRUCTURAL,ALTA,52135
IS-1032,2020-10-18T00:00:00Z,ROBO,ALTA,16896
IS-1033,2020-01-31T00:00:00Z,VANDALISMO,ALTA,18300
IS-1034,2021-06-06T00:00:00Z,ROBO,BAJA,17720
IS-1035,2024-10-03T00:00:00Z,CAIDA,BAJA,5219931
IS-1036,2021-07-25T00:00:00Z,DANO ESTRUCTURAL,ALTA,18057
IS-1037,2021-08-03T00:00:00Z,VANDALISMO,ALTA,18488
IS-1038,2022-02-13T00:00:00Z,DANO ESTRUCTURAL,CRITICA,17433
IS-1039,2020-03-01T00:00:00Z,ACCIDENTE,CRITICA,18530
IS-104,2023-01-01T00:00:00Z,CAIDA,ALTA,9187536
IS-1040,2021-12-25T00:00:00Z,CAIDA,ALTA,7130041
IS-1041,2022-06-12T00:00:00Z,VANDALISMO,BAJA,16757
IS-1042,2020-01-06T00:00:00Z,CAIDA,BAJA,4796512
IS-1043,2022-02-18T00:00:00Z,VANDALISMO,ALTA,17632
IS-1044,2020-12-11T00:00:00Z,ROBO,ALTA,17886
IS-1045,2022-11-16T00:00:00Z,CAIDA,BAJA,16766
IS-1046,2020-05-22T00:00:00Z,CAIDA,CRITICA,7908163
IS-1047,2020-03-13T00:00:00Z,VANDALISMO,ALTA,17200
IS-1048,2023-08-30T00:00:00Z,ROBO,BAJA,5071591
IS-1049,2021-04-13T00:00:00Z,CAIDA,MEDIA,18395
IS-105,2024-08-23T00:00:00Z,ROBO,MEDIA,17911
IS-1050,2024-08-11T00:00:00Z,ACCIDENTE,ALTA,18558
IS-1051,2021-09-16T00:00:00Z,VANDALISMO,ALTA,17753
IS-1052,2021-12-20T00:00:00Z,VANDALISMO,BAJA,16918
IS-1053,2023-04-15T00:00:00Z,VANDALISMO,ALTA,16867
IS-1054,2022-10-24T00:00:00Z,CAIDA,CRITICA,17544
IS-1055,2020-08-03T00:00:00Z,ROBO,MEDIA,3991087
IS-1056,2021-11-01T00:00:00Z,CAIDA,CRITICA,8218587
IS-1057,2023-05-02T00:00:00Z,ROBO,BAJA,18330
IS-1058,2021-10-21T00:00:00Z,VANDALISMO,ALTA,17678
IS-1059,2022-04-01T00:00:00Z,CAIDA,CRITICA,3991213
IS-106,2020-03-12T00:00:00Z,CAIDA,MEDIA,17686
IS-1060,2024-07-06T00:00:00Z,CAIDA,ALTA,17089
IS-1061,2024-06-30T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16668
IS-1062,2022-11-27T00:00:00Z,CAIDA,ALTA,52106
IS-1063,2021-10-09T00:00:00Z,DANO ESTRUCTURAL,MEDIA,16935
IS-1064,2020-06-03T00:00:00Z,ROBO,ALTA,17932
