_id,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JUEGOID,TIPO,COMENTARIOS
MNT-00001,2024-08-05T00:00:00Z,CORRECTIVO,MALO,MALO,9394146,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 1
MNT-00002,2024-03-30T00:00:00Z,CORRECTIVO,REGULAR,REGULAR,9224036,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 2
MNT-00003,2024-09-17T00:00:00Z,EMERGENCIA,BUENO,BUENO,3849642,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 3
MNT-00004,2023-11-01T00:00:00Z,EMERGENCIA,REGULAR,BUENO,59177,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 4
MNT-00005,2024-02-04T00:00:00Z,EMERGENCIA,BUENO,MALO,21957,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 5
MNT-00006,2024-03-06T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,34208,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 6
MNT-00007,2023-10-22T00:00:00Z,PREVENTIVO,BUENO,REGULAR,8803674,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 7
MNT-00008,2024-01-29T00:00:00Z,CORRECTIVO,BUENO,REGULAR,3576475,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 8
MNT-00009,2024-07-01T00:00:00Z,CORRECTIVO,MALO,REGULAR,5158890,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 9
MNT-00010,2024-02-20T00:00:00Z,EMERGENCIA,REGULAR,BUENO,4988207,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 10
MNT-00011,2024-04-09T00:00:00Z,CORRECTIVO,REGULAR,BUENO,9223682,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 11
MNT-00012,2024-08-02T00:00:00Z,PREVENTIVO,BUENO,BUENO,35036,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 12
MNT-00013,2024-02-17T00:00:00Z,EMERGENCIA,MALO,REGULAR,58764,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 13
MNT-00014,2024-05-25T00:00:00Z,EMERGENCIA,MALO,REGULAR,7822978,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 14
MNT-00015,2023-10-18T00:00:00Z,EMERGENCIA,BUENO,REGULAR,7126930,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 15
MNT-00016,2024-09-26T00:00:00Z,CORRECTIVO,MALO,BUENO,58422,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 16
MNT-00017,2023-12-11T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,4731663,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 17
MNT-00018,2024-02-08T00:00:00Z,CORRECTIVO,MALO,BUENO,20559,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 18
MNT-00019,2024-06-08T00:00:00Z,PREVENTIVO,REGULAR,MALO,21238,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 19
MNT-00020,2023-12-18T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,19725,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 20
MNT-00021,2023-12-25T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,4749929,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 21
MNT-00022,2024-02-04T00:00:00Z,EMERGENCIA,BUENO,REGULAR,25582,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 22
MNT-00023,2024-06-16T00:00:00Z,PREVENTIVO,REGULAR,MALO,18826,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 23
