ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo
3568711,Circuito deportivo elemental,85,lA paz,8.0,fuencaRrAL - eL PARdO,OPERATIVO,440597.41,4481480.16,ETRS89,40.48188796,-3.70085781,CALLE,PEDRO RICO,1,28029.0,PARQUE NORTE 3 (ANTONIO LOPEZ AGUADO),20103366.0,08/03/17,D0852,AE21,5,deportivas
3569210,Circuito deportivo elemental,87,MIrásIErRá,8.0,fueNCArral - el pArDO,OPERATIVO,438497.36,4482668.09,ETRS89,40.49243631,-3.72574853,CALLE,MARIA DE MAEZTU,108,28049.0,"CALLE MARIA DE MAEZTU, 108 C/V SENDA DEL INFANTE",31052003.0,2017-10-09 00:00:00,D0854,AE21,9,deportivas
3573005,Circuito deportivo elemental,192,VaLDEBErNardo,19.0,VICAlVaRO,OPERATIVO,446968.13,4472539.44,ETRS89,40.40177615,-3.62495141,CALLE,LADERA DE LOS ALMENDROS,14E,28032.0,"LADERA DE LOS ALMENDROS, 000014  E",20151600.0,20/10/2013,D1950,AE21,12,deportivas
3573016,Circuito deportivo elemental,192,VAlDEBErNáRDO,19.0,viCalVaRO,OPERATIVO,447538.38,4471701.76,ETRS89,40.3942659,-3.61816268,AVENIDA,DEMOCRACIA,50,28031.0,"AVDA DEMOCRACIA, 000050",20165254.0,20/10/13,D1953,AE21,11,deportivas
3573208,Circuito deportivo elemental,183,EnsancHE de ValLeCAS,18.0,vILLA DE VáLLECAs,OPERATIVO,449416.79,4468380.84,ETRS89,40.36446486,-3.59576667,CALLE,MARIA TERESA LEON,1G,28051.0,"MARÍA TERESA LEÓN, 000001  G",31026567.0,20/10/13,D1854,AE21,3,deportivas
3573331,Circuito deportivo elemental,182,SANtA EUGeNIa,18.0,vIlLA De vALLEcas,OPERATIVO,448854.01,4469974.4,ETRS89,40.37878646,-3.60252257,CALLE,POZA DE LA SAL,3,28031.0,"POZA DE LA SAL, 000003",11131688.0,23/10/2013,D1851,AE21,5,deportivas
3573333,Circuito deportivo elemental,181,cascO hiSToriCO DE VallECaS,18.0,viLLA De vALLEcAS,OPERATIVO,446970.232,4469259.493,ETRS89,40.37222835,-3.62465361,CALLE,BABILAFUENTE,2,28031.0,"BABILAFUENTE, 000002",20170570.0,2013-10-20 00:00:00,D1853,AE21,4,deportivas
3573466,Circuito deportivo elemental,181,CAsCO HISTOriCo dE vallEcAS,18.0,villA dE vaLLeCAS,OPERATIVO,446183.7,4469509.08,ETRS89,40.37442638,-3.63393894,CARRETERA,VILLAVERDE A VALLECAS,289,28031.0,"CTRA VILLAVERDE A VALLECAS, 000289",20180908.0,2013/10/20,D1856,AE21,9,deportivas
4792795,Circuito deportivo elemental,192,vaLDebernARDo,19.0,vicalVArO,OPERATIVO,446881.88,4472327.78,ETRS89,40.39986388,-3.6259501,AUTOVIA,M-40,1500EX,28032.0,"AUTOV M-40, 001500 EX",31031401.0,2017-12-20 00:00:00,D1954,AE21,8,deportivas
4792812,Circuito deportivo elemental,191,casCo histORicO de VicaLvArO,19.0,vIcALVArO,OPERATIVO,449811.48,4473216.06,ETRS89,40.40804785,-3.5914992,CALLE,ABAD JUAN CATALAN,70,28032.0,"ABAD JUAN CATALÁN, 000070",31037333.0,12-18-2017,D1957,AE21,8,deportivas
4795141,Circuito deportivo elemental,134,PALoMEras suREsTE,13.0,PuENTE de valLEcas,OPERATIVO,446093.72,4470974.62,ETRS89,40.38762311,-3.63512279,AVENIDA,,48,28038.0,"AVDA MIGUEL HERNÁNDEZ, 000048",20035278.0,2017/06/08,D1355,AE21,6,deportivas
4986445,Circuito deportivo elemental,172,sán críStObAL,17.0,vILLAVERde,OPERATIVO,441299.28,4466363.19,ETRS89,40.34575667,-3.69118256,CALLE,BENIFERRI,2,28021.0,"BENIFERRI, 000002",11126150.0,2018-11-30 00:00:00,D1756,AE21,11,deportivas
4988362,Circuito deportivo elemental,52,pROspERIDaD,5.0,cHamarTiN,OPERATIVO,443204.75,4476943.93,ETRS89,40.44120593,-3.66969137,CALLE,CORAZON DE MARIA,18,28002.0,PARQUE PUERTA DE AMERICA,20120209.0,2018-12-20 00:00:00,D0502,AE21,4,deportivas
3568708,Circuito deportivo elemental,97,aRAVacA,9.0,mOncLoa - AraVACa,OPERATIVO,433267.98,4478349.75,ETRS89,40.45313183,-3.78699707,CALLE,ESCULTOR PERESEJO,60,28023.0,"ESCULTOR PERESEJO, 60-6 (PARQUE ARROYO POZUELO)",20063772.0,01-25-2006,D0950,AE21,11,deportivas
3568959,Circuito deportivo elemental,44,gUINdAlERA,4.0,SAlAMancA,OPERATIVO,444014.4,4477014.43,ETRS89,40.44189594,-3.66015134,AVENIDA,BRASILIA,6,28028.0,"AVENIDA DE BRASILIA, 6",31026007.0,fecha_incorrecta,D0451,AE21,6,deportivas
3569421,Circuito deportivo elemental,62,CUáTRó cAmíNOS,6.0,TEtúán,OPERATIVO,440796.97,4478265.17,ETRS89,40.45294029,-3.69820349,AVENIDA,GENERAL PERON,5,28020.0,,11029966.0,2004-01-01 00:00:00,D0652,AE21,9,deportivas
3573015,Circuito deportivo elemental,191,cAsCo hISToriCO de vIcALVaRo,19.0,viCaLvaRo,OPERATIVO,449242.72,4473418.81,ETRS89,40.40983987,-3.59821817,PASEO,POLIDEPORTIVO,144,28032.0,"PASEO POLIDEPORTIVO, 000144",20154043.0,fecha_incorrecta,D1951,AE21,11,deportivas
3573050,Circuito deportivo elemental,113,Sán IsIDró,11.0,CArAbANCHEl,OPERATIVO,438262.05,4471523.78,ETRS89,40.39202662,-3.72744201,CALLE,EL TOBOSO,25,28019.0,"EL TOBOSO, 000025",11073134.0,fecha_incorrecta,D1156,AE21,13,deportivas
3573330,Circuito deportivo elemental,182,SANTa EugENIA,18.0,vIlLA dE VALlECas,OPERATIVO,448301.55,4470260.53,ETRS89,40.38133003,-3.60905366,CALLE,ZAZUAR,12,28031.0,"ZAZUAR, 000012",31011883.0,10-23-2013,D1850,AE21,10,deportivas
3573332,Circuito deportivo elemental,182,sANtA EugEnIa,18.0,vILla De valleCAs,OPERATIVO,448611.62,4469846.57,ETRS89,40.37761997,-3.60536757,CALLE,POZA DE LA SAL,19,28031.0,"POZA DE LA SAL, 000019",11131700.0,10-23-2013,D1855,AE21,7,deportivas
3573350,Circuito deportivo elemental,181,CAsco HIstORiCo dE VAlLeCAS,18.0,VIlla DE VaLLECaS,OPERATIVO,447019.82,4469328.46,ETRS89,40.3728528,-3.62407526,CALLE,BABILAFUENTE,1,28031.0,"BABILAFUENTE, 000001",20170576.0,20/10/2013,D1852,AE21,11,deportivas
