ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
1,2,1,Regular,18510,27-03-2021
2,5,5,Excelente,52143,25/03/2023
3,1,1,Deficiente,6907760,19-03-2022
4,2,1,Regular,9187084,2021-06-25
5,3,2,Aceptable,17256,28-12-2023
6,5,5,Excelente,18570,2021-12-09
7,1,1,Deficiente,17647,2021/02/22
8,1,2,Regular,52103,12-15-2022
9,1,1,Deficiente,52195,2021/10/07
10,2,2,Aceptable,52223,05-24-2023
11,1,1,Deficiente,18345,30/05/2021
12,2,2,Aceptable,18371,2023/08/13
13,5,5,Excelente,16716,15-09-2023
14,4,4,Excelente,4749900,02-03-2021
15,5,4,Excelente,18055,05-19-2022
16,2,2,Aceptable,18099,04-13-2021
17,5,4,Excelente,17373,2021/01/19
18,1,1,Deficiente,18330,2022-04-12
19,5,5,Excelente,17407,2022/06/29
20,5,5,Excelente,16677,2022-07-22
21,5,5,Excelente,18435,2022-08-11
22,5,4,Excelente,17300,2023/05/04
23,5,4,Excelente,18378,2021/07/17
24,1,1,Deficiente,18278,07-31-2023
25,4,4,Excelente,17409,2021-12-15
26,2,1,Regular,17977,2023/01/03
27,2,2,Aceptable,17685,2023/11/04
28,1,1,Deficiente,52158,09-26-2022
29,4,3,Muy bueno,17555,08-09-2021
30,5,5,Excelente,17760,2021-04-27
31,2,2,Aceptable,3991087,04/11/2022
32,4,3,Muy bueno,18620,03-26-2021
33,3,4,Muy bueno,17008,2023-01-04
34,2,1,Regular,18083,2023/10/08
35,3,3,Muy bueno,18630,10/06/2021
36,1,2,Regular,17045,08-17-2022
37,2,2,Aceptable,17419,2022-11-13
38,1,1,Deficiente,3558513,31-01-2023
39,2,1,Regular,18351,09-17-2023
40,4,4,Excelente,17092,02-23-2023
41,4,4,Excelente,17783,2022-11-30
42,4,3,Muy bueno,18528,2021/01/23
43,2,2,Aceptable,5195695,02-13-2022
44,3,2,Aceptable,17858,2021/08/27
45,3,4,Muy bueno,18410,26-06-2021
46,1,1,Deficiente,18557,2023/08/16
47,2,2,Aceptable,16967,25/10/2021
48,1,1,Deficiente,18193,25/08/2023
49,4,4,Excelente,17862,2023/06/12
50,5,4,Excelente,18395,2021-05-21
51,1,2,Regular,7928019,24-07-2021
52,1,1,Deficiente,8907322,2023-12-28
53,3,4,Muy bueno,4749896,13-06-2023
54,4,5,Excelente,17362,15/04/2023
55,5,4,Excelente,6819626,03-26-2023
56,1,1,Deficiente,52167,2022/06/18
57,3,3,Muy bueno,17675,01-13-2021
58,4,5,Excelente,17139,04-19-2022
59,1,2,Regular,17742,2021-03-26
60,5,5,Excelente,5654057,18-04-2022
61,3,4,Muy bueno,18011,2023/11/19
62,3,2,Aceptable,18149,2021-05-13
63,2,3,Aceptable,17786,05/04/2023
64,5,5,Excelente,6880820,10-10-2021
65,4,3,Muy bueno,18284,11-10-2022
66,3,3,Muy bueno,8914015,2023/02/12
67,1,1,Deficiente,16986,03/05/2023
68,2,1,Regular,7882665,2023/02/03
69,5,5,Excelente,17378,15-08-2021
70,3,2,Aceptable,17511,10-13-2023
71,5,4,Excelente,16767,2021/07/16
72,3,3,Muy bueno,18168,2021-07-25
73,5,4,Excelente,18091,09/01/2022
74,3,3,Muy bueno,5653963,15/08/2022
75,2,1,Regular,17200,18/01/2022
76,5,5,Excelente,16969,14-10-2023
77,2,3,Aceptable,17266,25-02-2022
78,5,5,Excelente,7245849,2022-09-23
79,1,2,Regular,17283,2023-02-24
80,4,4,Excelente,17938,2021/10/18
81,4,4,Excelente,17289,08-12-2023
82,1,1,Deficiente,17063,09-30-2023
83,1,1,Deficiente,18327,18-03-2022
84,5,5,Excelente,17549,2023-03-31
85,5,5,Excelente,18584,2023/06/08
86,1,1,Deficiente,5237134,2023-07-31
87,2,3,Aceptable,18454,04/10/2021
88,1,2,Regular,18074,2022-03-11
89,2,2,Aceptable,17779,2023/02/08
