ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
"-1,00 MNT",2024/08/05,Correctivo,Malo,Malo,9394146,preventivo,Comentario sobre el mantenimiento 1
"-2,00 MNT",2024/03/30,Correctivo,Regular,Regular,9224036,preventivo,Comentario sobre el mantenimiento 2
"-3,00 MNT",09-17-2024,Emergencia,Bueno,Bueno,3849642,preventivo,Comentario sobre el mantenimiento 3
"-4,00 MNT",01-11-2023,Emergencia,Regular,Bueno,59177,preventivo,Comentario sobre el mantenimiento 4
"-5,00 MNT",2024-02-04,Emergencia,Bueno,Malo,21957,preventivo,Comentario sobre el mantenimiento 5
"-6,00 MNT",06-03-2024,Preventivo,Regular,Regular,34208,queja_usuario,Comentario sobre el mantenimiento 6
"-7,00 MNT",2023/10/22,Preventivo,Bueno,Regular,8803674,queja_usuario,Comentario sobre el mantenimiento 7
"-8,00 MNT",2024/01/29,Correctivo,Bueno,Regular,3576475,queja_usuario,Comentario sobre el mantenimiento 8
"-9,00 MNT",2024/07/01,Correctivo,Malo,Regular,5158890,preventivo,Comentario sobre el mantenimiento 9
"-10,00 MNT",2024/02/20,Emergencia,Regular,Bueno,4988207,preventivo,Comentario sobre el mantenimiento 10
"-11,00 MNT",09-04-2024,Correctivo,Regular,Bueno,9223682,preventivo,Comentario sobre el mantenimiento 11
"-12,00 MNT",02-08-2024,Preventivo,Bueno,Bueno,35036,queja_usuario,Comentario sobre el mantenimiento 12
"-13,00 MNT",2024-02-17,Emergencia,Malo,Regular,58764,preventivo,Comentario sobre el mantenimiento 13
"-14,00 MNT",2024/05/25,Emergencia,Malo,Regular,7822978,queja_usuario,Comentario sobre el mantenimiento 14
"-15,00 MNT",18/10/2023,Emergencia,Bueno,Regular,7126930,queja_usuario,Comentario sobre el mantenimiento 15
"-16,00 MNT",26/09/2024,Correctivo,Malo,Bueno,58422,preventivo,Comentario sobre el mantenimiento 16
"-17,00 MNT",12/11/2023,Preventivo,Regular,Regular,4731663,queja_usuario,Comentario sobre el mantenimiento 17
"-18,00 MNT",08-02-2024,Correctivo,Malo,Bueno,20559,preventivo,Comentario sobre el mantenimiento 18
"-19,00 MNT",08-06-2024,Preventivo,Regular,Malo,21238,queja_usuario,Comentario sobre el mantenimiento 19
"-20,00 MNT",12-18-2023,Preventivo,Regular,Regular,19725,queja_usuario,Comentario sobre el mantenimiento 20
"-21,00 MNT",2023-12-25,Emergencia,Regular,Regular,4749929,preventivo,Comentario sobre el mantenimiento 21
"-22,00 MNT",02/04/2024,Emergencia,Bueno,Regular,25582,queja_usuario,Comentario sobre el mantenimiento 22
"-23,00 MNT",06-16-2024,Preventivo,Regular,Malo,18826,preventivo,Comentario sobre el mantenimiento 23
"-24,00 MNT",2024-06-13,Correctivo,Bueno,Regular,20237,queja_usuario,Comentario sobre el mantenimiento 24
"-25,00 MNT",2024-07-12,Correctivo,Regular,Malo,3997060,queja_usuario,Comentario sobre el mantenimiento 25
"-26,00 MNT",05-20-2024,Emergencia,Malo,Malo,5241083,preventivo,Comentario sobre el mantenimiento 26
"-27,00 MNT",19-08-2024,Preventivo,Bueno,Bueno,9497226,preventivo,Comentario sobre el mantenimiento 27
"-28,00 MNT",2024-01-03,Correctivo,Regular,Bueno,9271148,preventivo,Comentario sobre el mantenimiento 28
"-29,00 MNT",08/05/2024,Preventivo,Malo,Bueno,33591,preventivo,Comentario sobre el mantenimiento 29
"-30,00 MNT",02-01-2024,Correctivo,Bueno,Malo,33491,preventivo,Comentario sobre el mantenimiento 30
"-31,00 MNT",2023/10/21,Correctivo,Regular,Bueno,8888577,queja_usuario,Comentario sobre el mantenimiento 31
"-32,00 MNT",10/09/2024,Correctivo,Malo,Regular,18703,preventivo,Comentario sobre el mantenimiento 32
"-33,00 MNT",2024-05-28,Emergencia,Malo,Regular,8928074,preventivo,Comentario sobre el mantenimiento 33
"-34,00 MNT",03-02-2024,Correctivo,Malo,Bueno,21749,queja_usuario,Comentario sobre el mantenimiento 34
"-35,00 MNT",06-23-2024,Correctivo,Bueno,Bueno,4737873,queja_usuario,Comentario sobre el mantenimiento 35
"-36,00 MNT",07-09-2024,Correctivo,Regular,Bueno,35182,preventivo,Comentario sobre el mantenimiento 36
"-37,00 MNT",08-02-2024,Correctivo,Malo,Malo,8820183,queja_usuario,Comentario sobre el mantenimiento 37
"-38,00 MNT",2024/03/16,Preventivo,Regular,Malo,19562,preventivo,Comentario sobre el mantenimiento 38
"-39,00 MNT",05-16-2024,Correctivo,Regular,Malo,32653,preventivo,Comentario sobre el mantenimiento 39
"-40,00 MNT",29-10-2023,Preventivo,Malo,Bueno,34142,queja_usuario,Comentario sobre el mantenimiento 40
"-41,00 MNT",05-19-2024,Emergencia,Regular,Bueno,3963370,queja_usuario,Comentario sobre el mantenimiento 41
"-42,00 MNT",09-05-2024,Correctivo,Regular,Bueno,21442,queja_usuario,Comentario sobre el mantenimiento 42
"-43,00 MNT",08-07-2024,Correctivo,Regular,Bueno,6878949,preventivo,Comentario sobre el mantenimiento 43
"-44,00 MNT",05-09-2024,Preventivo,Regular,Bueno,59202,preventivo,Comentario sobre el mantenimiento 44
"-45,00 MNT",2024/05/20,Preventivo,Malo,Regular,7924749,preventivo,Comentario sobre el mantenimiento 45
"-46,00 MNT",2023-11-28,Emergencia,Bueno,Bueno,9289730,preventivo,Comentario sobre el mantenimiento 46
"-47,00 MNT",2024/09/04,Emergencia,Regular,Bueno,19866,queja_usuario,Comentario sobre el mantenimiento 47
"-48,00 MNT",23-06-2024,Correctivo,Bueno,Regular,9052567,queja_usuario,Comentario sobre el mantenimiento 48
"-49,00 MNT",31-01-2024,Correctivo,Regular,Malo,3530673,queja_usuario,Comentario sobre el mantenimiento 49
"-50,00 MNT",2024/04/28,Preventivo,Bueno,Malo,59740,preventivo,Comentario sobre el mantenimiento 50
"-51,00 MNT",2024-01-13,Correctivo,Bueno,Regular,5241064,preventivo,Comentario sobre el mantenimiento 51
"-52,00 MNT",01-04-2024,Emergencia,Bueno,Malo,9157760,preventivo,Comentario sobre el mantenimiento 52
"-53,00 MNT",2024-04-27,Emergencia,Regular,Regular,21140,preventivo,Comentario sobre el mantenimiento 53
"-54,00 MNT",09-06-2024,Emergencia,Bueno,Bueno,24703,preventivo,Comentario sobre el mantenimiento 54
"-55,00 MNT",23/09/2024,Emergencia,Malo,Malo,59353,queja_usuario,Comentario sobre el mantenimiento 55
"-56,00 MNT",11-09-2023,Preventivo,Malo,Malo,6878766,queja_usuario,Comentario sobre el mantenimiento 56
"-57,00 MNT",05-26-2024,Emergencia,Malo,Bueno,4985742,preventivo,Comentario sobre el mantenimiento 57
"-58,00 MNT",23-07-2024,Emergencia,Regular,Malo,21681,preventivo,Comentario sobre el mantenimiento 58
"-59,00 MNT",18/01/2024,Preventivo,Malo,Regular,21688,queja_usuario,Comentario sobre el mantenimiento 59
"-60,00 MNT",2024/08/01,Correctivo,Malo,Regular,9389678,queja_usuario,Comentario sobre el mantenimiento 60
"-61,00 MNT",08/03/2024,Preventivo,Bueno,Malo,9129831,queja_usuario,Comentario sobre el mantenimiento 61
"-62,00 MNT",2024-03-11,Preventivo,Bueno,Malo,25588,preventivo,Comentario sobre el mantenimiento 62
"-63,00 MNT",2024/04/04,Preventivo,Bueno,Bueno,59771,preventivo,Comentario sobre el mantenimiento 63
"-64,00 MNT",20/10/2023,Correctivo,Regular,Bueno,25029,queja_usuario,Comentario sobre el mantenimiento 64
"-65,00 MNT",15/05/2024,Correctivo,Malo,Malo,3580731,queja_usuario,Comentario sobre el mantenimiento 65
"-66,00 MNT",07-27-2024,Preventivo,Regular,Malo,4750002,queja_usuario,Comentario sobre el mantenimiento 66
"-67,00 MNT",2024-02-27,Preventivo,Malo,Bueno,21092,preventivo,Comentario sobre el mantenimiento 67
"-68,00 MNT",2024/01/08,Emergencia,Bueno,Malo,7872672,queja_usuario,Comentario sobre el mantenimiento 68
"-69,00 MNT",2023-11-16,Emergencia,Bueno,Malo,21339,queja_usuario,Comentario sobre el mantenimiento 69
"-70,00 MNT",28/09/2024,Preventivo,Regular,Bueno,3573457,queja_usuario,Comentario sobre el mantenimiento 70
"-71,00 MNT",2024/03/25,Preventivo,Malo,Malo,59163,queja_usuario,Comentario sobre el mantenimiento 71
"-72,00 MNT",28/10/2023,Emergencia,Regular,Bueno,59925,preventivo,Comentario sobre el mantenimiento 72
"-73,00 MNT",24-03-2024,Correctivo,Regular,Bueno,33727,queja_usuario,Comentario sobre el mantenimiento 73
"-74,00 MNT",2024-02-07,Correctivo,Malo,Malo,9397139,preventivo,Comentario sobre el mantenimiento 74
"-75,00 MNT",18/05/2024,Correctivo,Malo,Regular,25630,queja_usuario,Comentario sobre el mantenimiento 75
"-76,00 MNT",25/06/2024,Emergencia,Regular,Regular,52881,queja_usuario,Comentario sobre el mantenimiento 76
"-77,00 MNT",31/05/2024,Emergencia,Regular,Bueno,32918,preventivo,Comentario sobre el mantenimiento 77
"-78,00 MNT",19/03/2024,Preventivo,Bueno,Bueno,25696,queja_usuario,Comentario sobre el mantenimiento 78
"-79,00 MNT",04-25-2024,Correctivo,Bueno,Malo,32726,preventivo,Comentario sobre el mantenimiento 79
"-80,00 MNT",22-05-2024,Correctivo,Regular,Malo,9492978,preventivo,Comentario sobre el mantenimiento 80
"-81,00 MNT",28/10/2023,Preventivo,Malo,Malo,58942,queja_usuario,Comentario sobre el mantenimiento 81
